ENCELADUS	EUROPA	metabolism	Substrate	KEGG Module	pathway	protein family 	protein id	reaction	family gene	gene	marker gene	KEGG ID	COG ID	GO ID 	GenBank 	KEGG genome	Uniprot	NCBI protein
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	4Fe-4S ferredoxin	fwd/fmdABCDEFGH	CO2 --> formylmethanofuran	fmdABCDEFGH	fmdH	no	K00204	COG1146	0018493	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	formylmethanofuran-tetrahydromethanopterin formyltransferase	ftr	formylmethanofuran --> 5-formyl-H4MPT	ftr	ftr	yes	K00672	COG2037	0030270	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	methenyl-tetrahydromethanopterincyclohydrolase 	mch	 5-formyl-H4MPT --> 5,10-methenyl-H4MPT	mch	mch	no	K01499	COG3252	0018759	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	5,10-methenyltetrahydromethanopterin hydrogenase	hmd, hmdII, hmdII	 5,10-methenyl-H4MPT -->  5,10-metylene-H4MPT	hmd	hmd	yes	K13942	COG4074	0047068	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	methylenetetrahydromethanopterin dehydrogenase 	mtd	 5,10-methenyl-H4MPT -->  5,10-methylene-H4MPT	mtd	mtd	yes	K00319	COG1927	0030268	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00567	methanogenesis	5,10-methylenetetrahydromethanopterin reductase	mer	5,10-metylene-H4MPT --> 5 methyl-H4MPT	mer	mer	no	K00320	COG2141	0018537	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit A 	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrA	yes	K00577	COG4063	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit B	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrB	yes	K00578	COG4062	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit C	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrC	yes	K00579	COG4061	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit D	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrD	yes	K00580	COG4060	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit E	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrE	yes	K00581	COG4059	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit F	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrF	no	K00582	COG4058	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit G	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrG	yes	K00583	COG4057	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	Carbon Dioxide	M00357, M00367	methanogenesis	tetrahydromethanopterin S-methyltransferase subunit H	mtr	5-methyl-H4MPT to methyl-coM	mtrABCDEFGH	mtrH	no	K00584	COG4057	0030269	NA	NA	NA	NA
yes	yes	methanogenesis	monomethylamine	M00563	methanogenesis	methylamine---corrinoid protein Co-methyltransferase 	mtmABC	monomethylamine --> methyl-coM	mtmABC	mtmB	no	K16176	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	monomethylamine	M00563	methanogenesis	monomethylamine corrinoid protein	mtmABC	monomethylamine --> methyl-coM	mtmABC	mtmC	no	K16177	COG5012	NA	NA	NA	NA	NA
yes	yes	methanogenesis	dimethylamine	M00563	methanogenesis	monomethylamine methyltransferase [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase	mtbABC	dimethylamine --> methyl-coM	mtbABC	mtbA	no	K14082	COG0407	NA	NA	NA	NA	NA
yes	yes	methanogenesis	dimethylamine	0	methanogenesis	dimethylamine---corrinoid protein Co-methyltransferase 	mtbABC	dimethylamine --> methyl-coM	mtbABC	mtbB	no	K16178	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	dimethylamine	M00563	methanogenesis	dimethylamine corrinoid protein	mtbABC	dimethylamine --> methyl-coM	mtbABC	mtbC	no	K16179	COG5012	NA	NA	NA	NA	NA
yes	yes	methanogenesis	trimethylamine	0	methanogenesis	trimethylamine---corrinoid protein Co-methyltransferase 	mttABC	trimethylamine --> methyl-coM	mttABC	mttB	no	K14083	COG5598	NA	NA	NA	NA	NA
yes	yes	methanogenesis	trimethylamine	0	methanogenesis	trimethylamine corrinoid protein	mttABC	trimethylamine --> methyl-coM	mttABC	mttC	no	K14084	COG5012	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356	methanogenesis	methanol-cobalamin methyltransferase subunit alpha	mtaABC	methanol --> methyl-coM	mtaABC	mtaA	no	K14080	COG0407	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356	methanogenesis	methanol-cobalamin methyltransferase subunit beta	mtaABC	methanol --> methyl-coM	mtaABC	mtaB	no	K04480	NA	0047152	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356	methanogenesis	methanol corrinoid protein	mtaABC	methanol --> methyl-coM	mtaABC	mtaC	no	K14081	COG5012	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	methyl-coenzyme M reductase I alpha subunit	MRI, mcrBDCGA	methyl-CoM --> CH4 + CoM-S-S-CoB	mcrBDCGA	mcrA	yes	K00399	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	methyl-coenzyme M reductase I beta subunit	MRI, mcrBDCGA	methyl-CoM --> CH4 + CoM-S-S-CoB	mcrBDCGA	mcrB	yes	K00401	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	0	methanogenesis	methyl-coenzyme M reductase I subunit C	MRI, mcrBDCGA	methyl-CoM --> CH4 + CoM-S-S-CoB	mcrBDCGA	mcrC	no	K03421	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	0	methanogenesis	methyl-coenzyme M reductase I subunit D	MRI, mcrBDCGA	methyl-CoM --> CH4 + CoM-S-S-CoB	mcrBDCGA	mcrD	no	K03422	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	methyl-coenzyme M reductase I gamma subunit	MRI, mcrBDCGA	methyl-CoM --> CH4 + CoM-S-S-CoB	mcrBDCGA	mcrG	yes	K00402	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	0	methanogenesis	methyl-coenzyme M reductase II subunit alpha	MRII, mtr	methyl-CoM <--> CH4 + CoM-S-S-CoB	mtrEDCBA	mtrA	no	K00399	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	0	methanogenesis	methyl-coenzyme M reductase II subunit beta	MRII, mtr	methyl-CoM <--> CH4 + CoM-S-S-CoB	mtrEDCBA	mtrB	no	K00401	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	0	methanogenesis	methyl-coenzyme M reductase II subunit gamma	MRII, mtr	methyl-CoM <--> CH4 + CoM-S-S-CoB	mtrEDCBA	mtrG	no	K00402	NA	0050524	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrA1	yes	K22480	COG1148	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00568	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrA2	yes	K03388	COG1148	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrB1	no	K22481	COG2048	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00367	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrB2	no	K03389	COG2048	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00367	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrC1	no	K22482	COG1150	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	coB-coM heterodisulfide oxidoreductase	hdrABCDE	CoM-S-S-CoB --> methyl-CoM (recycling)	hdrABCDE	hdrC2	no	K03390	COG1150	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00568	methanogenesis	CoB-CoM heterodisulfide reductase 	hdrABCDE	CoM-S-S-CoB + dihydromethanophenazine -->CoM + CoB + methanophenazine (recycling)	hdrABCDE	hdrD	no	K08264 	COG1150	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methyl-coM	M00356, M00357, M00563, M00567	methanogenesis	CoB-CoM heterodisulfide reductase,  b-type cytochrome	hdrABCDE	CoM-S-S-CoB + dihydromethanophenazine -->CoM + CoB + methanophenazine (recycling)	hdrABCDE	hdrE	no	K08265	COG1150	0051912	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356, M00357, M00563, M00367	methanogenesis	methyl viologen-reducing hydrogenase F420-non-reducing hydrogenase iron-sulfur subunit 	mvhD, vhuD, vhcD	2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen/ Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Format	mvhD	mvhD	no	K14126	COG1908	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356, M00357, M00563, M00367	methanogenesis	methyl viologen-reducing hydrogenaseF420-non-reducing hydrogenase large subunit	mvhA	2 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen	mvhA	mvhA	yes	K14128	COG3259	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanol	M00356, M00357, M00563, M00367	methanogenesis	methyl viologen-reducing hydrogenase F420-non-reducing hydrogenase small subunit	"	
mvhG, vhuG, vhcG"	3 Reduced ferredoxin + 2 H+ <=> Hydrogen + 2 Oxidized ferredoxin / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Hydrogen	mvhG	mvhG	no	K14128	COG1941	NA	NA	NA	NA	NA
yes	yes	methanogenesis	formate	M00356, M00357, M00563, M00367		formate dehydrogenase (coenzyme F420) alpha subunit 	fdhA	"	
Formate + Coenzyme F420 <=> CO2 + Reduced coenzyme F42 / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate"	fdh	fdhA	no	K22516	COG3383	0043794	NA	NA	NA	NA
yes	yes	methanogenesis	formate	M00356, M00357, M00563, M00367		formate dehydrogenase (coenzyme F420) beta subunit 	fdhB	"	
Formate + Coenzyme F420 <=> CO2 + Reduced coenzyme F42 / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate"	fdh	fdhB	no	K00125	COG1035	0043794	NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   	M00358	 PEP-dependent pathway 	phosphosulfolactate (PSL) synthase	ComA	(2R)-2-O-phospho-3-sulfolactate = phosphoenolpyruvate + sulfite 	comA	comA	no	K08097	"	COG1809"	"	0043817"	NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   	M00358	 PEP-dependent pathway 	2-phosphosulfolactate (PSL) phosphatase	ComB	(2R)-O-Phospho-3-sulfolactate + H2O <=> (2R)-3-Sulfolactate + Orthophosphate	comB	comB	no	K05979	COG2045	"	0050532"	NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   	M00358	 PEP-dependent pathway 	sulfolactate dehydrogenase	ComC	(2R)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+	ComC	ComC	no	K05884	COG2055		NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   		L-phosphoserine dependent	pyridoxal 5_- phosphate (PLP)-dependent cysteate synthase	Cs	O-phospho-L-serine + sulfite = L-cysteate + phosphate	cs	cs	no	K15527 	COG0498		NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   		L-phosphoserine dependent	canonical PLP-dependent aspartate aminotransferase	aspAT	0	asp	aspAT	no	NA	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   	M00358	Shared pathway from sylfopyruvate to CoM	thiamine pyrophosphate-dependent sulfopyruvate subunit beta 	ComDE	3-Sulfopyruvate <=> Sulfoacetaldehyde + CO2	comD	comD	no	K06034	COG4032	"	0050545"	NA	NA	NA	NA
yes	yes	methanogenesis	canonical methanogones CoM biosynthesis pathways   	M00358	Shared pathway from sylfopyruvate to CoM	thiamine pyrophosphate-dependent sulfopyruvate subunit alpha 	ComDE	3-Sulfopyruvate <=> Sulfoacetaldehyde + CO2	comE	comE	no	K13039	COG0028	"	0050545"	NA	NA	NA	NA
yes	yes	methanogenesis	 methanogones F420 biosynthesis pathways   	M00378 	"	
F420 biosynthesis"	radical S-adenosylmethionine enzymes	cofGH/FbiC	5-amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil ammonia-lyase (7,8-didemethyl-8-hydroxy-5-deazariboflavin-forming)	cofG	cofG	no	K11780	COG1060	"	0044689"	pfam04055, pfam19288	NA	NA	NA
yes	yes	methanogenesis	 methanogones F420 biosynthesis pathways   	M00378 	"	
F420 biosynthesis"	radical S-adenosylmethionine enzymes	cofGH/FbiC	5-amino-6-(D-ribitylamino)uracil:L-tyrosine 4-hydroxybenzyltransferase	cofH	cofH	no	K11781	COG1060	"	0044689"	pfam04055	NA	NA	NA
yes	yes	methanogenesis	 methanogones F420 biosynthesis pathways   	M00378 	"	
F420 biosynthesis"	2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase 	cofC, fbiD	2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase 	cofC	cofC	yes	K14941	COG1920	"	0043814"	pfam01983 	NA	NA	NA
yes	yes	methanogenesis	 methanogones F420 biosynthesis pathways   	M00378 	"	
F420 biosynthesis"	2-phospho-L-lactate transferase	cofD	7,8-Didemethyl-8-hydroxy-5-deazariboflavin + (2S)-Lactyl-2-diphospho-5'-guanosine <=> Coenzyme F420-0 + GMP	cofD	cofD	no	K11212	COG0391	"	0043743"	pfam01933 	NA	NA	NA
yes	yes	methanogenesis	 methanogones F420 biosynthesis pathways   	M00378 	"	
F420 biosynthesis"	coenzyme F420-1:gamma-L-glutamate ligase 	cofE	   Coenzyme F420-0 + GTP + L-Glutamate <=> Coenzyme F420-1 + GDP + Orthophosphate	cofE	cofE	no	K12234	 COG1478	0052618, 0052619	pfam00881, pfam01996	NA	NA	NA
yes	yes	methanogenesis	methanogenesis F420 reduction	0	F420 canonical regeneration (low H2 and high [Ni])	coenzyme F420-reducing  [NiFe] hydrogenase _ subunit (group 3)	frhADGB	hydrogen:coenzyme F420 oxidoreductase	frhADGB	FrhA	yes	K00440	COG3259	0050454	PF00374	NA	NA	NA
yes	yes	methanogenesis	methanogenesis F420 reduction	0	F420 canonical regeneration (low H2 and high [Ni])	coenzyme F420-reducing  [NiFe] hydrogenase _ subunit (group 3)	frhADGB	hydrogen:coenzyme F420 oxidoreductase	frhADGB	FrhB	yes	K00441	COG1035	0050454	PF00374	NA	NA	NA
yes	yes	methanogenesis	methanogenesis F420 reduction	0	F420 canonical regeneration (low H2 and high [Ni])	coenzyme F420-reducing  [NiFe] hydrogenase delta subunit (group 3)	frhADGB	hydrogen:coenzyme F420 oxidoreductase	frhADGB	FrhD	no	K00442	COG0680	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis F420 reduction	0	F420 canonical regeneration (low H2 and high [Ni])	coenzyme F420-reducing  [NiFe] hydrogenase _  subunit (group 3)	frhADGB	hydrogen:coenzyme F420 oxidoreductase	frhADGB	FrhG	yes	K00443	COG1941	0050454	PF00374	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit A 	FpoABCDI	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoABCDI	fpoA	no	K22158	COG0838	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit B	FpoABCDI	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoABCDI	fpoB	yes	K22159	COG0377	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit C	FpoABCDI	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoABCDI	fpoC	no	K22160	COG0852	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit D	FpoABCDI	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoABCDI	fpoD	yes	K22161	COG0649	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit I	FpoABCDI	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoABCDI	fpoI	yes	K22164	COG1143	NA	NA	NA	NA	NA
	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit H	fpoH	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoH	fpoH	no	K22163	COG1005	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenesis coenzyme B/coenzyme M regeneration	0	coenzyme B/coenzyme M regeneration	F420H2 dehydrogenase subunit F	FpoF	 a reduced coenzyme F420 + methanophenazine --> oxidized coenzyme F420 + dihydromethanophenazine	fpoF	fpoF	yes	K22162	COG1035	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchA	EchA	no	K14086	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchB	EchB	no	K14087	COG0650	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchC	EchC	no	K14088	COG3260	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchD	EchD	no	K14089	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchE	EchE	no	K14090	COG3261	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase (group 4e)	echABCDEF	Ferredoxin reduction <--> Ferredoxin oxidation	EchF	EchF	no	K14091	COG1143	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	methanophenazine-reducing [NiFe] hydrogenase (F420 non-reducing hydrogenase I) , large subunit	VhoGAC	Methanophenazine + Hydrogen <=> Dihydromethanophenazine	VhoA, vhtA	VhoA	no	K14068	COG0374	0051911	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	methanophenazine-reducing [NiFe] hydrogenase, F420 non-reducing hydrogenase I, cytochrome b subunit	VhoGAC	Methanophenazine + Hydrogen <=> Dihydromethanophenazine	VhoC,vhtC	VhoC	no	K14069	COG2864	0051911	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes with cytochromes	0	energy conversion	methanophenazine-reducing [NiFe] hydrogenase, F420 non-reducing hydrogenase I, small subunit	VhoGAC	Methanophenazine + Hydrogen <=> Dihydromethanophenazine	VhoG, vhtG	VhoG	no	K14070	COG1740	0051911	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaA	EhaA	no	K14092	COG4042	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaB	EhaB	no	K14093	COG4041	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaC	EhaC	no	K14094	COG4040	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaD	EhaD	yes	K14095	COG4039	NA	NA	NA	NA	NA
